Title;Issn;SJR Best Quartile;Categories
International Journal of Refractory Metals and Hard Materials;22133917, 02634368;Q1;"Ceramics and Composites (Q1); Materials Chemistry (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Metals and Alloys (Q1)"
Journal of Experimental Education;19400683, 00220973;Q1;"Education (Q1); Developmental and Educational Psychology (Q2)"
Journal of Neuropathology and Experimental Neurology;15546578, 00223069;Q1;"Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1); Cellular and Molecular Neuroscience (Q2)"
Minerals Engineering;08926875;Q1;"Chemistry (miscellaneous) (Q1); Control and Systems Engineering (Q1); Geotechnical Engineering and Engineering Geology (Q1); Mechanical Engineering (Q1)"
Neural Plasticity;16875443, 20905904;Q2;"Neurology (Q2); Neurology (clinical) (Q2)"
Statistica Sinica;10170405;Q1;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
Trends in Hearing;23312165;Q1;"Otorhinolaryngology (Q1); Speech and Hearing (Q1)"
IEEE Intelligent Transportation Systems Magazine;19411197, 19391390;Q1;"Automotive Engineering (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1)"
Insect Systematics and Diversity;23993421;Q1;"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1); Developmental Biology (Q2)"
JMIR Nursing;25627600;Q1;Nursing (miscellaneous) (Q1)
Additive Manufacturing Letters;27723690;Q1;"Engineering (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1)"
Contemporary Educational Technology;1309517X;Q1;"Education (Q1); Management of Technology and Innovation (Q1)"
Fungal Biology Reviews;17494613;Q1;"Plant Science (Q1); Microbiology (Q2)"
Journal of Ovarian Research;17572215;Q1;"Obstetrics and Gynecology (Q1); Oncology (Q2)"
NeuroMolecular Medicine;15351084, 15591174;Q2;"Cellular and Molecular Neuroscience (Q2); Molecular Medicine (Q2); Neurology (Q2)"
Rheumatology and Therapy;21986576, 21986584;Q2;"Immunology and Allergy (Q2); Rheumatology (Q2)"
Healthcare Analytics;27724425;Q1;"Analytical Chemistry (Q1); Health Informatics (Q1)"
IEEE Open Journal of Antennas and Propagation;26376431;Q1;Electrical and Electronic Engineering (Q1)
Journal of Management Science and Engineering;20962320, 25895532;Q1;"Business and International Management (Q1); Control and Systems Engineering (Q1); Decision Sciences (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
Naval Research Logistics;15206750, 0894069X;Q1;"Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Ocean Engineering (Q1)"
Nutrition, Metabolism and Cardiovascular Diseases;15903729, 09394753;Q1;"Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1); Endocrinology, Diabetes and Metabolism (Q2)"
CIRP Journal of Manufacturing Science and Technology;17555817, 18780016;Q1;Industrial and Manufacturing Engineering (Q1)
English for Specific Purposes;08894906;Q1;"Education (Q1); Linguistics and Language (Q1)"
Journal of Hypertension;14735598, 02636352;Q1;"Cardiology and Cardiovascular Medicine (Q1); Internal Medicine (Q1); Physiology (Q2)"
Natural Resources Research;15207439;Q1;Environmental Science (miscellaneous) (Q1)
Research on Aging;01640275, 15527573;Q1;"Health (social science) (Q1); Social Psychology (Q1); Geriatrics and Gerontology (Q2)"
ACR Open Rheumatology;25785745;Q2;Rheumatology (Q2)
ACS Chemical Neuroscience;19487193;Q1;"Medicine (miscellaneous) (Q1); Biochemistry (Q2); Cell Biology (Q2); Cognitive Neuroscience (Q2); Physiology (Q2)"
Aquaculture;00448486;Q1;Aquatic Science (Q1)
Autonomous Robots;15737527, 09295593;Q1;Artificial Intelligence (Q1)
Journal of the Geological Society;2041479X, 00167649;Q1;Geology (Q1)
Physical Review C;24699985, 24699993;Q1;Nuclear and High Energy Physics (Q1)
Reproduction;17417899, 14701626;Q1;"Embryology (Q1); Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1); Cell Biology (Q2); Endocrinology (Q2)"
Advances in Life Course Research;18796974, 15694909;Q1;Life-span and Life-course Studies (Q1)
CNS Spectrums;10928529, 21656509;Q2;"Neurology (clinical) (Q2); Psychiatry and Mental Health (Q2)"
International Journal of Housing Policy;19491247, 19491255;Q1;"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)"
Journal of Clinical and Translational Hepatology;23108819, 22250719;Q1;"Gastroenterology (Q1); Hepatology (Q2)"
Personality and Mental Health;19328621, 1932863X;Q1;"Health Policy (Q1); Psychiatry and Mental Health (Q2)"
Superconductor Science and Technology;09532048, 13616668;Q1;"Ceramics and Composites (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Chemistry (Q1); Metals and Alloys (Q1)"
Surgery (United States);15327361, 00396060;Q1;Surgery (Q1)
Neuroendocrinology;00283835, 14230194;Q2;"Cellular and Molecular Neuroscience (Q2); Endocrine and Autonomic Systems (Q2); Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2)"
SIAM Journal on Discrete Mathematics;10957146, 08954801;Q1;Mathematics (miscellaneous) (Q1)
Clinical Genetics;00099163, 13990004;Q2;"Genetics (Q2); Genetics (clinical) (Q2)"
Engineering Science and Technology, an International Journal;22150986;Q1;"Civil and Structural Engineering (Q1); Computer Networks and Communications (Q1); Electronic, Optical and Magnetic Materials (Q1); Fluid Flow and Transfer Processes (Q1); Hardware and Architecture (Q1); Mechanical Engineering (Q1); Metals and Alloys (Q1); Biomaterials (Q2)"
Insect Conservation and Diversity;17524598, 1752458X;Q1;"Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1)"
Journal of Educational Measurement;00220655;Q1;"Education (Q1); Psychology (miscellaneous) (Q1); Applied Psychology (Q2); Developmental and Educational Psychology (Q2)"
Journal of Gastric Cancer;2093582X, 20935641;Q1;"Gastroenterology (Q1); Cancer Research (Q2); Oncology (Q2)"
Journal on Migration and Human Security;23302488, 23315024;Q1;"Demography (Q1); Geography, Planning and Development (Q1)"
Scandinavian Journal of Economics;14679442, 03470520;Q1;Economics and Econometrics (Q1)
Service Business;18628508, 18628516;Q1;"Business and International Management (Q1); Strategy and Management (Q1)"
Annals of Operations Research;02545330, 15729338;Q1;"Decision Sciences (miscellaneous) (Q1); Management Science and Operations Research (Q1)"
Bulletin de la Societe Mathematique de France;00379484;Q1;Mathematics (miscellaneous) (Q1)
Environmental Epidemiology;24747882;Q1;"Health, Toxicology and Mutagenesis (Q1); Pollution (Q1); Public Health, Environmental and Occupational Health (Q1); Epidemiology (Q2); Global and Planetary Change (Q2)"
Materials and Structures/Materiaux et Constructions;13595997, 18716873;Q1;"Building and Construction (Q1); Civil and Structural Engineering (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1)"
American Journal of Health Promotion;21686602, 08901171;Q1;"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)"
Digestive and Liver Disease;15908658, 18783562;Q1;"Gastroenterology (Q1); Hepatology (Q2)"
Digital Geography and Society;26663783;Q1;"Computer Science Applications (Q1); Development (Q1); Geography, Planning and Development (Q1); Information Systems (Q1); Social Sciences (miscellaneous) (Q1)"
Journal of Contaminant Hydrology;01697722, 18736009;Q1;"Water Science and Technology (Q1); Environmental Chemistry (Q2)"
NDT and E International;09638695;Q1;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1)"
Regional Environmental Change;14363798, 1436378X;Q2;Global and Planetary Change (Q2)
TechTrends;87563894;Q1;"Computer Science Applications (Q1); Education (Q1)"
Tectonophysics;00401951;Q1;"Earth-Surface Processes (Q1); Geophysics (Q1)"
Tree Physiology;0829318X, 17584469;Q1;"Plant Science (Q1); Physiology (Q2)"
American Journal of Chinese Medicine;0192415X, 17936853;Q1;"Complementary and Alternative Medicine (Q1); Medicine (miscellaneous) (Q1)"
Earth Surface Dynamics;2196632X, 21966311;Q1;"Earth-Surface Processes (Q1); Geophysics (Q1)"
Expert Review of Anti-Infective Therapy;14787210, 17448336;Q1;"Infectious Diseases (Q1); Microbiology (medical) (Q1); Microbiology (Q2); Virology (Q2)"
International Journal of Robust and Nonlinear Control;10498923, 10991239;Q1;"Aerospace Engineering (Q1); Biomedical Engineering (Q1); Chemical Engineering (miscellaneous) (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1)"
Oxford Open Immunology;26336960;Q2;"Immunology (Q2); Immunology and Allergy (Q2)"
Research Involvement and Engagement;20567529;Q1;"Health Professions (miscellaneous) (Q1); Health (social science) (Q1)"
Bioelectronic Medicine;23328886;Q1;"Biomedical Engineering (Q1); Computer Science Applications (Q1); Medicine (miscellaneous) (Q1)"
Bulletin of the Seismological Society of America;00371106, 19433573;Q1;"Geochemistry and Petrology (Q1); Geophysics (Q1)"
Climate Change Ecology;26669005;Q1;"Ecological Modeling (Q1); Ecology (Q1); Environmental Science (miscellaneous) (Q1); Global and Planetary Change (Q2)"
International Journal of Lightweight Materials and Manufacture;25888404;Q1;"Industrial and Manufacturing Engineering (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1)"
Plant Biology;14388677, 14358603;Q1;"Ecology, Evolution, Behavior and Systematics (Q1); Medicine (miscellaneous) (Q1); Plant Science (Q1)"
Annals of Financial Economics;20104952, 20104960;Q1;"Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Journal of Bacteriology;00219193, 10985530;Q2;"Microbiology (Q2); Molecular Biology (Q2)"
Journal of Counseling and Development;15566676, 07489633;Q2;Applied Psychology (Q2)
Journal of Multilingual and Multicultural Development;01434632;Q1;"Cultural Studies (Q1); Education (Q1); Linguistics and Language (Q1)"
Perspectives in Plant Ecology, Evolution and Systematics;16180437, 14338319;Q1;"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
Swiss Political Science Review;14247755, 16626370;Q1;Political Science and International Relations (Q1)
eNeuro;23732822;Q1;"Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q2)"
International Journal of Methods in Psychiatric Research;10498931, 15570657;Q2;Psychiatry and Mental Health (Q2)
Applied Ergonomics;18729126, 00036870;Q1;"Engineering (miscellaneous) (Q1); Human Factors and Ergonomics (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Safety, Risk, Reliability and Quality (Q1)"
ChemBioEng Reviews;21969744;Q1;"Bioengineering (Q1); Chemical Engineering (miscellaneous) (Q1); Filtration and Separation (Q1); Industrial and Manufacturing Engineering (Q1); Process Chemistry and Technology (Q1); Biochemistry (Q2)"
Multinational Business Review;1525383X, 20541686;Q1;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1)"
Pituitary;15737403, 1386341X;Q2;"Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2)"
Toxicological Sciences;10960929, 10966080;Q1;Toxicology (Q1)
Computer Law and Security Review;02673649;Q1;"Business, Management and Accounting (miscellaneous) (Q1); Computer Networks and Communications (Q1); Law (Q1)"
Galaxies;20754434;Q1;Astronomy and Astrophysics (Q1)
JAMIA Open;25742531;Q1;Health Informatics (Q1)
Journal of Hospital Medicine;15535606, 15535592;Q1;"Assessment and Diagnosis (Q1); Care Planning (Q1); Fundamentals and Skills (Q1); Health Policy (Q1); Internal Medicine (Q1); Leadership and Management (Q1); Medicine (miscellaneous) (Q1)"
Journal of Sport and Social Issues;01937235, 15527638;Q1;Sociology and Political Science (Q1)
Structures;23520124;Q1;"Architecture (Q1); Building and Construction (Q1); Civil and Structural Engineering (Q1); Safety, Risk, Reliability and Quality (Q1)"
Adipocyte;21623945, 2162397X;Q1;"Histology (Q1); Cell Biology (Q2)"
Agriculture and Food Security;20487010;Q1;"Agronomy and Crop Science (Q1); Ecology (Q1); Food Science (Q1)"
Journal of Comparative Neurology;10969861, 00219967;Q2;Neuroscience (miscellaneous) (Q2)
Chemical Engineering Science: X;25901400;Q1;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1)"
Forestry Research;27673812;Q1;"Forestry (Q1); Horticulture (Q1); Plant Science (Q1)"
Journal of Family Psychology;08933200, 19391293;Q1;Psychology (miscellaneous) (Q1)
Administration and Society;00953997, 15523039;Q1;"Public Administration (Q1); Sociology and Political Science (Q1); Marketing (Q2)"
Advances in Simulation;20590628;Q1;"Ecology, Evolution, Behavior and Systematics (Q1); Psychology (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Cognitive Neuroscience (Q2); Developmental Neuroscience (Q2); Psychiatry and Mental Health (Q2)"
Annals of Allergy, Asthma and Immunology;15344436, 10811206;Q1;"Pulmonary and Respiratory Medicine (Q1); Immunology (Q2); Immunology and Allergy (Q2)"
BioScience Trends;18817823, 18817815;Q1;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Health (social science) (Q1); Medicine (miscellaneous) (Q1)"
BMC Medical Ethics;14726939;Q1;"Health Policy (Q1); Health (social science) (Q1); Issues, Ethics and Legal Aspects (Q1)"
Hydrometallurgy;0304386X;Q1;"Industrial and Manufacturing Engineering (Q1); Materials Chemistry (Q1); Metals and Alloys (Q1)"
IEEE Transactions on Computational Imaging;23339403;Q1;"Computational Mathematics (Q1); Computer Science Applications (Q1); Signal Processing (Q1)"
Journal of Dermatological Science;1873569X, 09231811;Q1;"Dermatology (Q1); Biochemistry (Q2); Molecular Biology (Q2)"
Journal of Physical Activity and Health;15433080, 15435474;Q1;"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Public Health, Environmental and Occupational Health (Q1); Epidemiology (Q2)"
Northwestern University Law Review;00293571;Q1;Law (Q1)
Youth Violence and Juvenile Justice;15412040;Q1;"Health (social science) (Q1); Law (Q1); Developmental and Educational Psychology (Q2)"
Journal for the Scientific Study of Religion;00218294;Q1;Religious Studies (Q1)
Journal of Accounting and Public Policy;18732070, 02784254;Q1;"Accounting (Q1); Sociology and Political Science (Q1)"
Journal of Economics and Management Strategy;15309134, 10586407;Q1;"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
Journal of Environmental Planning and Management;13600559, 09640568;Q1;"Environmental Science (miscellaneous) (Q1); Fluid Flow and Transfer Processes (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Water Science and Technology (Q1)"
Management of Environmental Quality;17586119, 14777835;Q1;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Public Health, Environmental and Occupational Health (Q1)"
Mycology;21501211, 21501203;Q1;"Infectious Diseases (Q1); Plant Science (Q1); Microbiology (Q2)"
Handbook of Experimental Pharmacology;18650325, 01712004;Q1;"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Biochemistry (Q2)"
Journal of Law, Finance, and Accounting;23805013, 23805005;Q1;"Accounting (Q1); Finance (Q1); Law (Q1)"
Journal of Zhejiang University: Science B;16731581, 18621783;Q1;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)"
Solid Earth;18699510, 18699529;Q1;"Earth-Surface Processes (Q1); Geochemistry and Petrology (Q1); Geology (Q1); Geophysics (Q1); Paleontology (Q1); Soil Science (Q1); Stratigraphy (Q1)"
Andrology;20472927, 20472919;Q1;"Reproductive Medicine (Q1); Urology (Q1); Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2)"
Early Intervention in Psychiatry;17517885, 17517893;Q2;"Biological Psychiatry (Q2); Psychiatry and Mental Health (Q2)"
Forensic Science International: Synergy;2589871X;Q1;"Law (Q1); Pathology and Forensic Medicine (Q1)"
Aging;19454589;Q2;"Cell Biology (Q2); Aging (Q3)"
Archives of Public Health;20493258, 07787367;Q1;Public Health, Environmental and Occupational Health (Q1)
